,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
66,Dom,2022-09-18,15:30 ,Union Berlin,0.3,2–0,Wolfsburg,"22,012",Stadion An der Alten Försterei,Robert Schröder,Informe del partido
67,Dom,2022-09-18,17:30 ,Bochum,2.1,1–1,Köln,"25,800",Vonovia Ruhrstadion,Bastian Dankert,Informe del partido
68,Dom,2022-09-18,19:30 ,Hoffenheim,1.0,0–0,Freiburg,"24,233",PreZero Arena,Deniz Aytekin,Informe del partido
69,,,,,,,,,,,
70,Vie,2022-09-30,20:30 ,Bayern Munich,0.8,4–0,Leverkusen,"75,000",Allianz Arena,Tobias Stieler,Informe del partido
71,Sáb,2022-10-01,15:30 ,Freiburg,1.6,2–1,Mainz 05,"34,700",Europa-Park Stadion,Sven Jablonski,Informe del partido
72,Sáb,2022-10-01,15:30 ,Eint Frankfurt,1.0,2–0,Union Berlin,"50,500",Deutsche Bank Park,Sascha Stegemann,Informe del partido
73,Sáb,2022-10-01,15:30 ,Köln,2.5,3–2,Dortmund,"50,000",RheinEnergieSTADION,Harm Osmers,Informe del partido
74,Sáb,2022-10-01,15:30 ,Wolfsburg,1.5,3–2,Stuttgart,"24,125",Volkswagen Arena,Felix Zwayer,Informe del partido
75,Sáb,2022-10-01,15:30 ,RB Leipzig,0.1,4–0,Bochum,"44,403",Red Bull Arena,Florian Badstübner,Informe del partido
76,Sáb,2022-10-01,18:30 ,Werder Bremen,2.3,5–1,M'Gladbach,"42,100",Wohninvest-Weserstadion,Matthias Jöllenbeck,Informe del partido
77,Dom,2022-10-02,15:30 ,Hertha BSC,1.4,1–1,Hoffenheim,"41,653",Olympiastadion Berlin,Christian Dingert,Informe del partido
78,Dom,2022-10-02,17:30 ,Schalke 04,1.4,2–3,Augsburg,"60,328",Veltins-Arena,Daniel Schlager,Informe del partido
79,,,,,,,,,,,
80,Vie,2022-10-07,20:30 ,Hoffenheim,1.3,1–2,Werder Bremen,"25,410",PreZero Arena,Benjamin Cortus,Informe del partido
81,Sáb,2022-10-08,15:30 ,Bochum,0.9,3–0,Eint Frankfurt,"24,850",Vonovia Ruhrstadion,Martin Petersen,Informe del partido
82,Sáb,2022-10-08,15:30 ,Mainz 05,1.0,1–1,RB Leipzig,"26,100",Mewa Arena,Felix Brych,Informe del partido
83,Sáb,2022-10-08,15:30 ,Augsburg,1.8,1–1,Wolfsburg,"26,220",WWK Arena,Daniel Siebert,Informe del partido
84,Sáb,2022-10-08,15:30 ,Leverkusen,0.4,4–0,Schalke 04,"30,210",BayArena,Tobias Reichel,Informe del partido
85,Sáb,2022-10-08,18:30 ,Dortmund,0.6,2–2,Bayern Munich,"81,365",Signal Iduna Park,Deniz Aytekin,Informe del partido
86,Dom,2022-10-09,15:30 ,M'Gladbach,1.3,5–2,Köln,"54,042",Stadion im Borussia-Park,Sven Jablonski,Informe del partido
87,Dom,2022-10-09,17:30 ,Hertha BSC,1.0,2–2,Freiburg,"40,481",Olympiastadion Berlin,Robert Schröder,Informe del partido
88,Dom,2022-10-09,19:30 ,Stuttgart,0.7,0–1,Union Berlin,"43,250",Mercedes-Benz Arena,Bastian Dankert,Informe del partido
89,,,,,,,,,,,
90,Vie,2022-10-14,20:30 ,Schalke 04,3.2,0–3,Hoffenheim,"59,811",Veltins-Arena,Florian Badstübner,Informe del partido
91,Sáb,2022-10-15,15:30 ,Wolfsburg,0.8,2–2,M'Gladbach,"26,701",Volkswagen Arena,Benjamin Cortus,Informe del partido
92,Sáb,2022-10-15,15:30 ,Eint Frankfurt,0.4,5–1,Leverkusen,"49,700",Deutsche Bank Park,Frank Willenborg,Informe del partido
93,Sáb,2022-10-15,15:30 ,Werder Bremen,1.1,0–2,Mainz 05,"41,000",Wohninvest-Weserstadion,Robert Hartmann,Informe del partido
94,Sáb,2022-10-15,15:30 ,Stuttgart,1.6,4–1,Bochum,"45,400",Mercedes-Benz Arena,Christian Dingert,Informe del partido
95,Sáb,2022-10-15,18:30 ,RB Leipzig,2.3,3–2,Hertha BSC,"47,069",Red Bull Arena,Harm Osmers,Informe del partido
96,Dom,2022-10-16,15:30 ,Köln,0.4,3–2,Augsburg,"49,000",RheinEnergieSTADION,Felix Zwayer,Informe del partido
97,Dom,2022-10-16,17:30 ,Union Berlin,0.8,2–0,Dortmund,"22,012",Stadion An der Alten Försterei,Tobias Stieler,Informe del partido
98,Dom,2022-10-16,19:30 ,Bayern Munich,0.3,5–0,Freiburg,"75,000",Allianz Arena,Sascha Stegemann,Informe del partido
99,,,,,,,,,,,
100,Vie,2022-10-21,20:30 ,Mainz 05,0.7,5–0,Köln,"31,610",Mewa Arena,Matthias Jöllenbeck,Informe del partido
101,Sáb,2022-10-22,15:30 ,Leverkusen,1.2,2–2,Wolfsburg,"26,294",BayArena,Felix Brych,Informe del partido
102,Sáb,2022-10-22,15:30 ,Hoffenheim,2.4,0–2,Bayern Munich,"30,150",PreZero Arena,Sven Jablonski,Informe del partido
103,Sáb,2022-10-22,15:30 ,Dortmund,1.0,5–0,Stuttgart,"81,365",Signal Iduna Park,Daniel Schlager,Informe del partido
104,Sáb,2022-10-22,15:30 ,Freiburg,0.5,2–0,Werder Bremen,"34,700",Europa-Park Stadion,Bastian Dankert,Informe del partido
105,Sáb,2022-10-22,15:30 ,Augsburg,2.4,3–3,RB Leipzig,"25,109",WWK Arena,Robert Schröder,Informe del partido
106,Sáb,2022-10-22,18:30 ,M'Gladbach,1.9,1–3,Eint Frankfurt,"53,019",Stadion im Borussia-Park,Daniel Siebert,Informe del partido
107,Dom,2022-10-23,15:30 ,Bochum,1.0,2–1,Union Berlin,"25,460",Vonovia Ruhrstadion,Deniz Aytekin,Informe del partido
108,Dom,2022-10-23,17:30 ,Hertha BSC,0.6,2–1,Schalke 04,"60,165",Olympiastadion Berlin,Martin Petersen,Informe del partido
109,,,,,,,,,,,
110,Vie,2022-10-28,20:30 ,Werder Bremen,0.4,1–0,Hertha BSC,"42,100",Wohninvest-Weserstadion,Tobias Reichel,Informe del partido
111,Sáb,2022-10-29,15:30 ,Bayern Munich,2.2,6–2,Mainz 05,"75,000",Allianz Arena,Felix Zwayer,Informe del partido
112,Sáb,2022-10-29,15:30 ,Wolfsburg,0.5,4–0,Bochum,"24,037",Volkswagen Arena,Robert Hartmann,Informe del partido
113,Sáb,2022-10-29,15:30 ,RB Leipzig,0.1,2–0,Leverkusen,"45,598",Red Bull Arena,Sven Jablonski,Informe del partido
114,Sáb,2022-10-29,15:30 ,Stuttgart,1.0,2–1,Augsburg,"46,400",Mercedes-Benz Arena,Tobias Stieler,Informe del partido
115,Sáb,2022-10-29,18:30 ,Eint Frankfurt,0.6,1–2,Dortmund,"50,000",Deutsche Bank Park,Sascha Stegemann,Informe del partido
116,Dom,2022-10-30,15:30 ,Union Berlin,1.0,2–1,M'Gladbach,"22,012",Stadion An der Alten Försterei,Harm Osmers,Informe del partido
117,Dom,2022-10-30,17:30 ,Schalke 04,2.3,0–2,Freiburg,"61,115",Veltins-Arena,Christian Dingert,Informe del partido
118,Dom,2022-10-30,19:30 ,Köln,0.9,1–1,Hoffenheim,"49,000",RheinEnergieSTADION,Frank Willenborg,Informe del partido
119,,,,,,,,,,,
120,Vie,2022-11-04,20:30 ,M'Gladbach,1.1,3–1,Stuttgart,"53,178",Stadion im Borussia-Park,Matthias Jöllenbeck,Informe del partido
121,Sáb,2022-11-05,15:30 ,Dortmund,0.6,3–0,Bochum,"81,365",Signal Iduna Park,Tobias Stieler,Informe del partido
122,Sáb,2022-11-05,15:30 ,Mainz 05,0.6,0–3,Wolfsburg,"26,750",Mewa Arena,Daniel Siebert,Informe del partido
123,Sáb,2022-11-05,15:30 ,Augsburg,1.2,1–2,Eint Frankfurt,"30,087",WWK Arena,Deniz Aytekin,Informe del partido
124,Sáb,2022-11-05,15:30 ,Hertha BSC,1.9,2–3,Bayern Munich,"74,667",Olympiastadion Berlin,Bastian Dankert,Informe del partido
125,Sáb,2022-11-05,15:30 ,Hoffenheim,1.7,1–3,RB Leipzig,"23,127",PreZero Arena,Martin Petersen,Informe del partido
126,Sáb,2022-11-05,18:30 ,Werder Bremen,1.4,2–1,Schalke 04,"41,000",Wohninvest-Weserstadion,Felix Brych,Informe del partido
127,Dom,2022-11-06,15:30 ,Leverkusen,0.3,5–0,Union Berlin,"30,210",BayArena,Robert Schröder,Informe del partido
128,Dom,2022-11-06,17:30 ,Freiburg,0.5,2–0,Köln,"33,800",Europa-Park Stadion,Florian Badstübner,Informe del partido
129,,,,,,,,,,,
130,Mar,2022-11-08,18:30 ,Wolfsburg,1.6,2–0,Dortmund,"28,675",Volkswagen Arena,Christian Dingert,Informe del partido
131,Mar,2022-11-08,20:30 ,Stuttgart,0.7,2–1,Hertha BSC,"44,500",Mercedes-Benz Arena,Frank Willenborg,Informe del partido
132,Mar,2022-11-08,20:30 ,Bochum,0.8,2–1,M'Gladbach,"25,900",Vonovia Ruhrstadion,Daniel Schlager,Informe del partido
133,Mar,2022-11-08,20:30 ,Bayern Munich,1.3,6–1,Werder Bremen,"75,000",Allianz Arena,Robert Hartmann,Informe del partido
134,Mié,2022-11-09,18:30 ,Köln,1.4,1–2,Leverkusen,"50,000",RheinEnergieSTADION,Tobias Stieler,Informe del partido
135,Mié,2022-11-09,20:30 ,Union Berlin,0.6,2–2,Augsburg,"22,012",Stadion An der Alten Försterei,Sascha Stegemann,Informe del partido
136,Mié,2022-11-09,20:30 ,Schalke 04,0.8,1–0,Mainz 05,"58,256",Veltins-Arena,Tobias Reichel,Informe del partido
137,Mié,2022-11-09,20:30 ,RB Leipzig,0.2,3–1,Freiburg,"41,240",Red Bull Arena,Harm Osmers,Informe del partido
138,Mié,2022-11-09,20:30 ,Eint Frankfurt,1.8,4–2,Hoffenheim,"49,000",Deutsche Bank Park,Felix Zwayer,Informe del partido
139,,,,,,,,,,,
140,Vie,2022-11-11,20:30 ,M'Gladbach,3.0,4–2,Dortmund,"54,042",Stadion im Borussia-Park,Sven Jablonski,Informe del partido
141,Sáb,2022-11-12,15:30 ,Augsburg,1.1,0–1,Bochum,"28,011",WWK Arena,Felix Brych,Informe del partido
142,Sáb,2022-11-12,15:30 ,Hoffenheim,0.7,1–2,Wolfsburg,"18,014",PreZero Arena,Daniel Schlager,Informe del partido
143,Sáb,2022-11-12,15:30 ,Werder Bremen,1.7,1–2,RB Leipzig,"41,500",Wohninvest-Weserstadion,Matthias Jöllenbeck,Informe del partido
144,Sáb,2022-11-12,15:30 ,Hertha BSC,1.8,2–0,Köln,"60,827",Olympiastadion Berlin,Christian Dingert,Informe del partido
145,Sáb,2022-11-12,15:30 ,Leverkusen,0.3,2–0,Stuttgart,"30,210",BayArena,Florian Badstübner,Informe del partido
